date,timestamp,price,market_cap,est_supply,est_mcap
2021-12-21,1640044800,87.37,0,365409836.06557375,31925857377.04918
2021-12-22,1640131200,85.42,0,364918032.78688526,31171298360.65574
2021-12-23,1640217600,94.24,0,364426229.5081967,34343527868.852455
2021-12-24,1640304000,95.88,0,363934426.2295082,34894032786.88525
2021-12-25,1640390400,98.34,0,363442622.9508197,35740947540.983604
2021-12-26,1640476800,99.65,0,362950819.6721311,36168049180.327866
2021-12-27,1640563200,90.93,0,362459016.39344263,32958398360.655743
2021-12-28,1640649600,85.19,0,361967213.1147541,30835986885.2459
2021-12-29,1640736000,84.16,0,361475409.8360656,30421770491.80328
2021-12-30,1640822400,84.71,0,360983606.55737704,30578921311.475407
2021-12-31,1640908800,85.48,0,360491803.27868855,30814839344.2623
2022-01-01,1640995200,91.66,0,360000000.0,32997600000.0
2022-01-02,1641081600,89.49,0,359888888.8888889,32206456666.666664
2022-01-03,1641168000,88.91,0,359777777.7777778,31987842222.22222
2022-01-04,1641254400,84.55,0,359666666.6666667,30409816666.666668
2022-01-05,1641340800,78.44,0,359555555.5555556,28203537777.77778
2022-01-06,1641427200,78.4,0,359444444.4444444,28180444444.444443
2022-01-07,1641513600,68.73,0,359333333.3333333,24696980000.0
2022-01-08,1641600000,66.8,0,359222222.2222222,23996044444.444443
2022-01-09,1641686400,74.44,0,359111111.1111111,26732231111.11111
2022-01-10,1641772800,69.5,0,359000000.0,24950500000.0
2022-01-11,1641859200,73.51,0,358888888.8888889,26381922222.222225
2022-01-12,1641945600,81.91,0,358777777.7777778,29387487777.77778
2022-01-13,1642032000,78.36,0,358666666.6666667,28105120000.0
2022-01-14,1642118400,81.45,0,358555555.5555556,29204350000.000004
2022-01-15,1642204800,87.3,0,358444444.4444444,31292199999.999996
2022-01-16,1642291200,87.11,0,358333333.3333333,31214416666.666664
2022-01-17,1642377600,77.13,0,358222222.2222222,27629679999.999996
2022-01-18,1642464000,80.77,0,358111111.1111111,28924634444.444443
2022-01-19,1642550400,81.2,0,358000000.0,29069600000.0
2022-01-20,1642636800,77.37,0,357888888.8888889,27689863333.333336
2022-01-21,1642723200,64.78,0,357777777.7777778,23176844444.444447
2022-01-22,1642809600,62.89,0,357666666.6666667,22493656666.666668
2022-01-23,1642896000,69.89,0,357555555.5555556,24989557777.77778
2022-01-24,1642982400,66.05,0,357444444.4444444,23609205555.555553
2022-01-25,1643068800,62.91,0,357333333.3333333,22479839999.999996
2022-01-26,1643155200,58.78,0,357222222.2222222,20997522222.22222
2022-01-27,1643241600,54.26,0,357111111.1111111,19376848888.88889
2022-01-28,1643328000,50.45,0,357000000.0,18010650000.0
2022-01-29,1643414400,50.93,0,356888888.8888889,18176351111.11111
2022-01-30,1643500800,46.36,0,356777777.7777778,16540217777.777779
2022-01-31,1643587200,52.15,0,356666666.6666667,18600166666.666668
2022-02-01,1643673600,52.21,0,356555555.5555556,18615765555.555557
2022-02-02,1643760000,47.57,0,356444444.4444444,16956062222.222221
2022-02-03,1643846400,51.15,0,356333333.3333333,18226450000.0
2022-02-04,1643932800,53.96,0,356222222.2222222,19221751111.11111
2022-02-05,1644019200,55.43,0,356111111.1111111,19739238888.88889
2022-02-06,1644105600,56.14,0,356000000.0,19985840000.0
2022-02-07,1644192000,59.51,0,355888888.8888889,21178947777.77778
2022-02-08,1644278400,57.24,0,355777777.7777778,20364720000.0
