tx,block,actor,contract,event,status,day
0x954342718b5c473b545f2ea362043dd7d9503dcd9817bd4c3c1d353b59cd8760,14959600,0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-14
0x44090d7d33dc31cf8487dc7ea8f7fe0947be8b1a9fa36fdb56ed4162d292a0db,14959599,0x55b7969dCE63163d92E8b88722c216EC46c041f3,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-14
0x6b74a07040d1f818c103ccf3fb94e50f07dd2c35746d908a35e2024d63342829,14959599,0xbE9064c409224D858F5fb12A5D3E8e417d9e28b7,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-14
0x78e51d23e6d0e7762f76d9f501941bf32f3b5d2e2c8c4e3ae9793b15ccf33594,14959598,0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-14
0x4adc693d021f739066de77ac1d55d88a3d0be097fc3e1ebd46f27b26100eb1a3,14959597,0x42DbF634c256acd17beDDC1330488F1BEa7B8BDf,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-14
0xc4c2653fee8592e4e0d4d3285a87f831d465e46e1dcb33bac88a04f601b3a068,14959442,0x99b02491Fd1A9a7A97a31d046767c08D5cCc9A1d,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-14
0x9570c136a72655d11818f43d0ce886181debef72088f5b6f186791c21532e25f,14956201,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
0x9eef815d1cdd602139d299084ea04cc6a42956f55ce5bdd33d27e1c87a8ada4c,14956201,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0x868b65491efa7ac1cd73979f76e31d86348c0bfbf101c06b27dfae25ac9c0f1d,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Success,2022-06-13
0xbf820a1ef64fffb807c8bb910c8c5c628b82c66c886b57a8f8d20e44fda7099b,14956200,0x008Ca3a9C52e0F0d9Ee94d310D20d67399d44f6C,0xc67963a226eddd77b91ad8c421630a1b0adff270,Take,Error in Txn,2022-06-13
